state,collection_date,ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total ICU Beds,Total LL,Total UL,Deaths,Negative tests,Positive Tests,Total Tests,
AK,2020-07-01,138,138,138,51.88,49.97,53.79,266,264,268,14,113418,982,114400,1
AL,2020-07-01,1533,1509,1557,82.29,78.42,86.15,1863,1837,1889,972,374991,38962,413433,2
AR,2020-07-01,898,891,905,62.8,61.24,64.36,1430,1421,1439,277,293661,21197,314858,3
AZ,2020-07-01,1436,1423,1449,73.68,70.93,76.42,1949,1924,1974,1720,465504,84092,786501,4
CA,2020-07-01,7600,7556,7644,66.85,65.61,68.09,11369,11315,11423,6090,4018037,236139,4254176,5
CO,2020-07-01,985,946,1024,53.56,45.83,61.29,1839,1774,1904,1697,300226,33029,401617,6
CT,2020-07-01,841,841,841,59.52,59.52,59.52,1413,1413,1413,4324,443237,46572,489809,7
DC,2020-07-01,445,445,445,78.76,78.76,78.76,565,565,565,553,89670,10365,100035,8
DE,2020-07-01,196,196,196,66.67,66.67,66.67,294,294,294,509,99874,11510,147835,9
FL,2020-07-01,6148,6069,6227,73.89,70.77,77.01,8321,8220,8422,3650,1821357,156434,2163496,10
GA,2020-07-01,2310,2255,2365,72.89,67.13,78.66,3169,3093,3245,2827,771388,84237,855625,11
HI,2020-07-01,163,163,163,57.19,55.59,58.79,285,283,287,18,78141,917,91692,12
IA,2020-07-01,647,598,696,53.83,40.69,66.97,1202,1144,1260,717,280339,29451,309790,13
ID,2020-07-01,225,224,226,43.1,41.78,44.43,522,518,526,92,84923,6117,90476,14
IL,2020-07-01,2297,2272,2322,52.04,49.69,54.39,4414,4360,4468,7152,1492042,145066,1637108,15
IN,2020-07-01,1463,1443,1483,57.76,54.33,61.19,2533,2488,2578,2650,443764,45952,628495,16
KS,2020-07-01,721,719,723,56.42,55.62,57.22,1278,1273,1283,272,168183,14990,183173,17
KY,2020-07-01,1653,1653,1653,71.81,71.64,71.97,2302,2300,2304,572,360692,15842,376534,18
LA,2020-07-01,2412,2367,2457,108.5,97.87,119.14,2223,2117,2329,3238,691910,60178,752088,19
MA,2020-07-01,1009,1009,1009,52.14,52.14,52.14,1935,1935,1935,8081,749292,109143,1118078,20
MD,2020-07-01,1030,1030,1030,72.59,0,0,1419,1419,1419,3205,474686,67918,656590,21
ME,2020-07-01,248,247,249,60.93,47.04,74.83,407,371,443,105,93947,3294,97241,22
MI,2020-07-01,2107,2060,2154,67.68,62.72,72.65,3113,3049,3177,6198,990770,71089,1061859,23
MN,2020-07-01,1059,1025,1093,63.22,56.58,69.87,1675,1631,1719,1482,580391,36716,617107,24
MO,2020-07-01,1672,1669,1675,60.38,59.63,61.13,2769,2757,2781,1017,367813,21927,424214,25
MS,2020-07-01,697,682,712,72.68,67.75,77.61,959,941,977,1082,265852,27900,293752,26
MT,2020-07-01,154,148,160,47.98,39.45,56.5,321,306,336,22,92314,1016,93330,27
NC,2020-07-01,1950,1925,1975,64.08,61.77,66.39,3043,3022,3064,1373,875725,66513,942238,28
ND,2020-07-01,133,133,133,37.05,37.05,37.05,359,359,359,89,103611,3611,180927,29
NE,2020-07-01,459,453,465,49.14,47.17,51.11,934,927,941,274,161431,19177,224300,30
NH,2020-07-01,185,180,190,54.9,46.57,63.22,337,320,354,371,113387,5782,152928,31
NJ,2020-07-01,1300,1295,1305,55.18,54.38,55.98,2356,2348,2364,14987,1271009,172936,1443945,32
NM,2020-07-01,202,199,205,58.38,55.45,61.31,346,342,350,500,337784,12276,350060,33
